start_s,end_s,midi_or_hz,confidence
0.325,0.425,80.52,0.01
0.348,0.448,80.99,0.01
0.372,0.472,82.88,0.01
0.395,0.495,79.6,0.01
0.418,0.518,79.6,0.01
0.441,0.541,83.36,0.01
0.464,0.564,82.88,0.01
0.488,0.588,82.41,0.01
0.511,0.611,82.41,0.01
0.534,0.634,80.99,0.01
0.557,0.657,75.57,0.01
0.58,0.68,82.41,0.01
0.604,0.704,74.7,0.01
0.627,0.727,73.84,0.01
0.65,0.75,65.41,0.01
0.673,0.773,71.74,0.01
0.697,0.797,70.92,0.01
0.72,0.82,70.92,0.01
0.743,0.843,70.92,0.01
0.766,0.866,71.74,0.01
0.789,0.889,70.92,0.01
0.813,0.913,70.92,0.01
0.836,0.936,65.79,0.01
0.859,0.959,71.33,0.01
0.882,0.982,66.17,0.01
0.906,1.006,65.79,0.01
0.929,1.029,70.92,0.01
0.952,1.052,70.92,0.01
0.975,1.075,70.92,0.01
0.998,1.098,72.99,0.01
1.022,1.122,75.57,0.01
1.045,1.145,72.99,0.01
1.068,1.168,76.01,0.01
1.091,1.191,82.88,0.01
1.115,1.215,82.88,0.01
1.138,1.238,74.27,0.01
1.161,1.261,76.89,0.01
1.44,1.54,65.41,0.01
1.463,1.563,65.41,0.01
1.486,1.586,65.41,0.01
1.509,1.609,65.41,0.01
1.533,1.633,65.41,0.01
1.556,1.656,65.41,0.01
1.579,1.679,65.41,0.01
1.602,1.702,65.41,0.01
1.625,1.725,65.41,0.01
1.649,1.749,65.41,0.01
1.672,1.772,65.41,0.01
1.695,1.795,65.41,0.01
1.718,1.818,65.41,0.01
1.741,1.841,65.41,0.01
1.765,1.865,65.41,0.01
1.788,1.888,65.41,0.01
1.904,2.004,65.41,0.01
1.927,2.027,65.41,0.01
1.95,2.05,65.41,0.01
1.974,2.074,65.41,0.01
1.997,2.097,65.41,0.01
2.02,2.12,65.41,0.01
2.043,2.143,65.41,0.01
2.067,2.167,65.41,0.01
2.09,2.19,65.41,0.01
2.113,2.213,65.41,0.01
2.136,2.236,65.41,0.01
2.159,2.259,65.41,0.01
2.183,2.283,65.41,0.01
2.206,2.306,65.41,0.01
2.531,2.631,65.41,0.01
2.554,2.654,65.41,0.01
2.577,2.677,65.41,0.01
2.601,2.701,65.41,0.01
2.624,2.724,65.41,0.01
2.647,2.747,65.41,0.01
2.67,2.77,65.41,0.01
2.694,2.794,65.41,0.01
2.717,2.817,65.41,0.01
2.74,2.84,65.41,0.01
